Category.Field.ID	Description	Participants	Total.item.count..includes.1.or.more.visits.	V2	V6	V7	link	new_col_name	value_to_detect	date_col
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a3_Duration_spent_answering_each_puzzle_._Instance_1_._Array_3	NA	NA			gt.90%	p20765_When_matrices_puzzle_completed
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a4_Duration_spent_answering_each_puzzle_._Instance_1_._Array_4	NA	NA			gt.90%	p20765_When_matrices_puzzle_completed
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a5_Duration_spent_answering_each_puzzle_._Instance_1_._Array_5	NA	NA			gt.90%	p20765_When_matrices_puzzle_completed
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a6_Duration_spent_answering_each_puzzle_._Instance_1_._Array_6	NA	NA			gt.90%	p20765_When_matrices_puzzle_completed
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a7_Duration_spent_answering_each_puzzle_._Instance_1_._Array_7	NA	NA			gt.90%	p20765_When_matrices_puzzle_completed
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a8_Duration_spent_answering_each_puzzle_._Instance_1_._Array_8	NA	NA			gt.90%	p20765_When_matrices_puzzle_completed
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a9_Duration_spent_answering_each_puzzle_._Instance_1_._Array_9	NA	NA			gt.90%	p20765_When_matrices_puzzle_completed
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a10_Duration_spent_answering_each_puzzle_._Instance_1_._Array_10	NA	NA			gt.90%	p20765_When_matrices_puzzle_completed
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a11_Duration_spent_answering_each_puzzle_._Instance_1_._Array_11	NA	NA			gt.90%	p20765_When_matrices_puzzle_completed
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a12_Duration_spent_answering_each_puzzle_._Instance_1_._Array_12	NA	NA			gt.90%	p20765_When_matrices_puzzle_completed
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a13_Duration_spent_answering_each_puzzle_._Instance_1_._Array_13	NA	NA			gt.90%	p20765_When_matrices_puzzle_completed
20763	Duration spent answering each puzzle	174581	2142531	p20763_Date_first_reported_gt.90._a14_Duration_spent_answering_each_puzzle_._Instance_1_._Array_14	NA	NA			gt.90%	p20765_When_matrices_puzzle_completed
21022	Age at recruitment	502150	502150	p21022_Age_at_recruitment	NA	NA				
24310	DRAGEN population level WGS variants	pVCF format [500k release]	Pending	Pending	NA	NA				
28726	Currently suffering from problems relating to mood	anxiety and emotions	195605	195605	NA	NA	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=162		gt.2	p28755_When_Health_and_Well-being_Questionnaire_completed
28735	Feeling anxious	nervous or on edge over the last 2 weeks	195605	195605	NA	NA	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=163		gt.2	p28755_When_Health_and_Well-being_Questionnaire_completed
28738	Feeling down	depressed or hopeless over the last 2 weeks	195605	195605	NA	NA	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=164		gt.2	p28755_When_Health_and_Well-being_Questionnaire_completed
32069	GraphTyper population level WGS variants	BGEN format [500k release]	490294	490294	NA	NA				
41202	Diagnoses - main ICD10	446	809	2	466	94				
41203	Diagnoses - main ICD9	20	388	43	496	NA				
41204	Diagnoses - secondary ICD10	399	866	4	810	78				
41205	Diagnoses - secondary ICD9	8	741	17	385	NA				
41270	Diagnoses - ICD10	446	814	7	15	683				
