Category.Field.ID	Description	Participants	Total.item.count..includes.1.or.more.visits.	new_col_name	link	value_to_detect	date_col	field_category
6146	Attendance/disability/mobility allowance	501265	639906	p6146_Date_first_reported_.2.3._Attendance.disability.mobility_allowance_._Instance_2		equal to ""2 3""	p53_i2	Assessment centre:Touchscreen:Sociodemographics
6146	Attendance/disability/mobility allowance	501265	639906	p6146_Date_first_reported_.2.3._Attendance.disability.mobility_allowance_._Instance_2		equal to ""2 3""	p53_i2	Assessment centre:Touchscreen:Sociodemographics
6146	Attendance/disability/mobility allowance	501265	639906	p6146_Date_first_reported_.2.3._Attendance.disability.mobility_allowance_._Instance_0		equal to ""2 3""	p53_i0	Assessment centre:Touchscreen:Sociodemographics
6146	Attendance/disability/mobility allowance	501265	639906	p6146_Date_first_reported_.2.3._Attendance.disability.mobility_allowance_._Instance_0		equal to ""2 3""	p53_i0	Assessment centre:Touchscreen:Sociodemographics
6146	Attendance/disability/mobility allowance	501265	639906	p6146_Date_first_reported_.2.3._Attendance.disability.mobility_allowance_._Instance_0		equal to ""2 3""	p53_i0	Assessment centre:Touchscreen:Sociodemographics
6146	Attendance/disability/mobility allowance	501265	639906	p6146_Date_first_reported_.2.3._Attendance.disability.mobility_allowance_._Instance_1		equal to ""2 3""	p53_i1	Assessment centre:Touchscreen:Sociodemographics
6146	Attendance/disability/mobility allowance	501265	639906	p6146_Date_first_reported_.2.3._Attendance.disability.mobility_allowance_._Instance_1		equal to ""2 3""	p53_i1	Assessment centre:Touchscreen:Sociodemographics
6146	Attendance/disability/mobility allowance	501265	639906	p6146_Date_first_reported_.2.3._Attendance.disability.mobility_allowance_._Instance_1		equal to ""2 3""	p53_i1	Assessment centre:Touchscreen:Sociodemographics
6159	Pain type(s) experienced in last month	501261	941234	p6159_Date_first_reported_1_Pain_types_experienced_in_last_month_._Instance_0		1	p53_i0	Assessment centre:Touchscreen:Health and medical history
6159	Pain type(s) experienced in last month	501261	941234	p6159_Date_first_reported_1_Pain_types_experienced_in_last_month_._Instance_0		1	p53_i0	Assessment centre:Touchscreen:Health and medical history
6159	Pain type(s) experienced in last month	501261	941234	p6159_Date_first_reported_1_Pain_types_experienced_in_last_month_._Instance_0		1	p53_i0	Assessment centre:Touchscreen:Health and medical history
6159	Pain type(s) experienced in last month	501261	941234	p6159_Date_first_reported_1_Pain_types_experienced_in_last_month_._Instance_2		1	p53_i2	Assessment centre:Touchscreen:Health and medical history
6159	Pain type(s) experienced in last month	501261	941234	p6159_Date_first_reported_1_Pain_types_experienced_in_last_month_._Instance_2		1	p53_i2	Assessment centre:Touchscreen:Health and medical history
6159	Pain type(s) experienced in last month	501261	941234	p6159_Date_first_reported_1_Pain_types_experienced_in_last_month_._Instance_2		1	p53_i2	Assessment centre:Touchscreen:Health and medical history
6159	Pain type(s) experienced in last month	501261	941234	p6159_Date_first_reported_1_Pain_types_experienced_in_last_month_._Instance_1		1	p53_i1	Assessment centre:Touchscreen:Health and medical history
6159	Pain type(s) experienced in last month	501261	941234	p6159_Date_first_reported_1_Pain_types_experienced_in_last_month_._Instance_1		1	p53_i1	Assessment centre:Touchscreen:Health and medical history
6159	Pain type(s) experienced in last month	501261	941234	p6159_Date_first_reported_1_Pain_types_experienced_in_last_month_._Instance_1		1	p53_i1	Assessment centre:Touchscreen:Health and medical history
6325	Duration to entering symbol choice	74229	2672038					NA
6333	Duration spent answering each puzzle	74085	1087318					NA
