column value_to_detect new_col date_col
p30568_Feelings_of_tiredness_during_waking_time 1 p30568_Feelings_of_tiredness_during_waking_time_dated p20400_Date_of_completing_mental_health_questionnaire
p29092_Amount_of_alcohol_drunk_on_a_typical_drinking_day 1 p29092_Amount_of_alcohol_drunk_on_a_typical_drinking_day_dated p20400_Date_of_completing_mental_health_questionnaire
p29093_Frequency_of_consuming_six_or_more_units_of_alcohol 1 p29093_Frequency_of_consuming_six_or_more_units_of_alcohol_dated p20400_Date_of_completing_mental_health_questionnaire
p29091_Frequency_of_drinking_alcohol 1 p29091_Frequency_of_drinking_alcohol_dated p20400_Date_of_completing_mental_health_questionnaire
p29063_Recent_easy_annoyance_or_irritability 1 p29063_Recent_easy_annoyance_or_irritability_dated p20400_Date_of_completing_mental_health_questionnaire
p29058_Recent_feelings_or_nervousness_or_anxiety 1 p29058_Recent_feelings_or_nervousness_or_anxiety_dated p20400_Date_of_completing_mental_health_questionnaire
p29011_Ever_had_prolonged_feelings_of_sadness_or_depression 1 p29011_Ever_had_prolonged_feelings_of_sadness_or_depression_dated p20400_Date_of_completing_mental_health_questionnaire
p29037_Professional_informed_about_depression 1 p29037_Professional_informed_about_depression_dated p20400_Date_of_completing_mental_health_questionnaire
p29003_Recent_feelings_of_depression 1 p29003_Recent_feelings_of_depression_dated p20400_Date_of_completing_mental_health_questionnaire
p29010_Recent_thoughts_of_suicide_or_selfharm 1 p29010_Recent_thoughts_of_suicide_or_selfharm_dated p20400_Date_of_completing_mental_health_questionnaire
p29029_Thoughts_of_death_during_worst_depression 1 p29029_Thoughts_of_death_during_worst_depression_dated p20400_Date_of_completing_mental_health_questionnaire
p29154_Anxiety.depression_today 1 p29154_Anxiety.depression_today_dated p20400_Date_of_completing_mental_health_questionnaire
p29153_Pain.discomfort_today 1 p29153_Pain.discomfort_today_dated p20400_Date_of_completing_mental_health_questionnaire
p29155_Scale_to_indicate_how_health_is_today 1 p29155_Scale_to_indicate_how_health_is_today_dated p20400_Date_of_completing_mental_health_questionnaire
p29151_Selfcare_problems_today 1 p29151_Selfcare_problems_today_dated p20400_Date_of_completing_mental_health_questionnaire
p29182_Belief_that_own_life_is_meaningful 1 p29182_Belief_that_own_life_is_meaningful_dated p20400_Date_of_completing_mental_health_questionnaire
p29181_General_happiness gt:5 p29181_General_happiness_dated p20400_Date_of_completing_mental_health_questionnaire
p28735_Feeling_anxious._nervous_or_on_edge_over_the_last_2_weeks 1 p28755_When_Health_and_Well.being_Questionnaire_completed Feeling_anxious._nervous_or_on_edge_over_the_last_2_weeks
p28738_Feeling_down._depressed_or_hopeless_over_the_last_2_weeks 1 p28755_When_Health_and_Well.being_Questionnaire_completed Feeling_down._depressed_or_hopeless_over_the_last_2_weeks
p28739_Difficulty_with_standing_for_long_periods 1 p28755_When_Health_and_Well.being_Questionnaire_completed Difficulty_with_standing_for_long_periods
p28740_Difficulty_with_taking_care_of_household_responsibilities 1 p28755_When_Health_and_Well.being_Questionnaire_completed Difficulty_with_taking_care_of_household_responsibilities
p28741_Difficulty_learning_a_new_task 1 p28755_When_Health_and_Well.being_Questionnaire_completed Difficulty_learning_a_new_task
p28744_Difficulty_with_concentrating_on_doing_something_for_ten_minutes 1 p28755_When_Health_and_Well.being_Questionnaire_completed Difficulty_with_concentrating_on_doing_something_for_ten_minutes
